代码,名称,市场,现价,涨幅,MA10
600909,华安证券,上海主板,7.3,-0.14,7.14
603798,康普顿,上海主板,16.34,-0.61,16.28
600273,嘉化能源,上海主板,9.27,-1.38,9.11
002355,兴民智通,深圳主板,6.71,-2.61,6.44
002819,东方中科,深圳主板,29.88,-3.02,29.2
603333,尚纬股份,上海主板,8.61,-3.04,8.5
605228,神通科技,上海主板,15.88,-3.05,15.85
603031,安孚科技,上海主板,49.64,-3.33,48.02
002643,万润股份,深圳主板,15.68,-3.69,15.51
000026,飞亚达,深圳主板,16.76,-3.73,16.5
603687,大胜达,上海主板,10.38,-3.98,10.1
600784,鲁银投资,上海主板,7.42,-4.01,7.23
603969,银龙股份,上海主板,10.86,-4.82,10.37
605358,立昂微,上海主板,41.12,-4.88,39.57
600133,东湖高新,上海主板,9.65,-5.11,9.51
600143,金发科技,上海主板,20.17,-6.23,19.76
002023,海特高新,深圳主板,14.3,-7.08,14.11
600562,国睿科技,上海主板,31.11,-9.59,29.98
